timestamp,ICAO,CIAD,Aeródromo,Cidade,UF,Status,NOTAM,Debug
2019-04-18T04:11:06.971353-03:00,SIQI,RS0066,Aerolis,MOSTARDAS,RS,OK,[],{'response_status_code': 200}
2019-04-18T04:11:12.084320-03:00,SWRQ,PI0045,Aero Park,TERESINA,PI,OK,[],{'response_status_code': 200}
2019-04-18T04:11:16.891320-03:00,SIPJ,RS0064,Aero Parque Tupã,TUPANCIRETÃ,RS,OK,[],{'response_status_code': 200}
2019-04-18T04:11:21.381321-03:00,SJGH,RS0077,Aeropel,SÃO BORJA,RS,OK,[],{'response_status_code': 200}
2019-04-18T04:11:26.803323-03:00,SWMZ,MT0369,Aeroporto Agroer Aviação,RONDONÓPOLIS,MT,OK,[],{'response_status_code': 200}
2019-04-18T04:11:31.514283-03:00,SDYS,SC0024,Aeroportobelo,PORTO BELO,SC,OK,[],{'response_status_code': 200}
2019-04-18T04:11:36.282362-03:00,SJPP,MT0205,Aero Rural,ALTA FLORESTA,MT,OK,[],{'response_status_code': 200}
2019-04-18T04:11:40.554321-03:00,SJWA,MG0136,Aerovaço,BOM JESUS DO GALHO,MG,OK,[],{'response_status_code': 200}
2019-04-18T04:11:44.461324-03:00,SJJJ,PA0070,Aeroxingu,ALTAMIRA,PA,OK,['Revogado INFOTEMP 0918/2018 \n OBST (TORRE) LGTD COORD 031024.77S/0521124.02W ELEV 525FT MONTADO  \n Duração:  01/10/18 14:03 a 31/12/19 23:59 UTC  | Divulgação: 01/10/2018 14:14'],{'response_status_code': 200}
2019-04-18T04:11:49.059303-03:00,SNXE,AP0009,Aero Z Ferrus,FERREIRA GOMES,AP,OK,[],{'response_status_code': 200}
2019-04-18T04:11:53.216322-03:00,SWGC,MS0375,Agricenter,PONTA PORÃ,MS,OK,[],{'response_status_code': 200}
2019-04-18T04:11:57.591320-03:00,SWAG,TO0041,Agrícola Rio Galhão,MATEIROS,TO,OK,[],{'response_status_code': 200}
2019-04-18T04:12:01.185321-03:00,SJSS,MT0218,Agrifor,SORRISO,MT,OK,[],{'response_status_code': 200}
2019-04-18T04:12:04.814286-03:00,SIHW,SP0180,Agrishow,RIBEIRÃO PRETO,SP,OK,[],{'response_status_code': 200}
2019-04-18T04:12:09.928324-03:00,SIZU,MT0160,Agrochapada,PARANATINGA,MT,OK,[],{'response_status_code': 200}
2019-04-18T04:12:14.633320-03:00,SNTP,PA0107,Agropalma,TAILÂNDIA,PA,OK,[],{'response_status_code': 200}
2019-04-18T04:12:19.402320-03:00,SDWC,MT0070,Agropastoril Bom Pastor,RONDONÓPOLIS,MT,OK,[],{'response_status_code': 200}
2019-04-18T04:12:23.934353-03:00,SNMF,MG0157,Agropastoril Monte Alegre,MONTE BELO,MG,OK,"['F0635/19  R  F0161/19  10/04/2019 18:33 \n AREA PERIGOSA (VOO LIVRE) COORD 202449.15S0460407.90W, 202219.84S0444054.04W, 204352.58S0444814.50W, 210431.53S0453018.30W, 212228.82S0452755.44W, 211937.17S0461452.77W, 205046.53S0462930.54W ACT \n \n  SFC \n  FL100 \n  10/04/19 18:33 a 07/07/19 20:35 UTC \n  APR 10 1833-2054 APR 11 TIL JUL 07 DLY SR-SS']",{'response_status_code': 200}
2019-04-18T04:12:28.280320-03:00,SIEC,MS0073,Agropecuária Cachoeira,JARAGUARI,MS,OK,[],{'response_status_code': 200}
2019-04-18T04:12:31.867364-03:00,SIZS,MT0159,Agropecuária Equus,GAÚCHA DO NORTE,MT,OK,[],{'response_status_code': 200}
2019-04-18T04:12:37.122281-03:00,SNOL,MT0260,Agropecuária Mariana,ALTA FLORESTA,MT,OK,[],{'response_status_code': 200}
2019-04-18T04:12:41.347285-03:00,SWQH,MT0381,Agropecuária Nova Santana,ARIPUANÃ,MT,OK,[],{'response_status_code': 200}
2019-04-18T04:12:46.117352-03:00,SNCO,MS0202,Agropecuária Santa Paola,TACURU,MS,OK,[],{'response_status_code': 200}
2019-04-18T04:12:50.386320-03:00,SIVD,MS0134,Agropecuária Santa Rita,RIO VERDE DE MATO GROSSO,MS,Aeródromo FECHADO até 30/06/19: INFOTEMP 1486/2018,['INFOTEMP 1486/2018 \n AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO \n Duração:  11/12/18 21:25 a 30/06/19 23:59 UTC  | Divulgação: 11/12/2018 21:20'],{'response_status_code': 200}
2019-04-18T04:08:51.070283-03:00,SIHA,RS0061,Agropecuária São Bernardo,SÃO MIGUEL DAS MISSÕES,RS,OK,[],{'response_status_code': 200}
2019-04-18T04:08:54.665320-03:00,SJRK,PA0077,Agropecuária São Roberto,SANTANA DO ARAGUAIA,PA,OK,[],{'response_status_code': 200}
2019-04-18T04:08:58.934286-03:00,SJHU,MT0180,Agropecuária Vale do Guaporé,COMODORO,MT,OK,[],{'response_status_code': 200}
2019-04-18T04:09:02.981320-03:00,SWZA,MT0443,Agrosan,JUARA,MT,OK,[],{'response_status_code': 200}
2019-04-18T04:09:07.075360-03:00,SDGT,AM0028,Agrotec,MANACAPURU,AM,OK,[],{'response_status_code': 200}
2019-04-18T04:09:11.360321-03:00,SNAV,BA0130,Agrovale,JUAZEIRO,BA,OK,[],{'response_status_code': 200}
