ICAO,CIAD,Aeródromo,Cidade,UF,Alerta,NOTAM,STATUS
SJHU,MT0180,Agropecuária Vale do Guaporé,COMODORO,MT,,[],OK
SWZA,MT0443,Agrosan,JUARA,MT,,[],OK
SDGT,AM0028,Agrotec,MANACAPURU,AM,,[],OK
SNAV,BA0039,Agrovale,JUAZEIRO,BA,,[],OK
SJYE,RR0002,Água Fria,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1284/2018,"{'badge_info': 'INFOTEMP 1284/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SIUA,RS0068,Águas Claras,VIAMÃO,RS,,[],OK
SJQL,MG0130,Águas Claras Aviação Agrícola ,SANTA JULIANA,MG,,"[{'badge_info': 'INFOTEMP 0199/2019', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0015/2019', 'texto2': 'Duração:'}]",OK
SWIV,PA0142,Águia Branca do Parú,ALMEIRIM,PA,,[],OK
SJYF,RR0090,Ajarani,CARACARAÍ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1213/2018,"{'badge_info': 'INFOTEMP 1213/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SDIR,RR0002,Ajarani 2,IRACEMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1230/2018,"[{'badge_info': 'INFOTEMP 1230/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0001/2019', 'texto2': 'Duração:'}]",OK
SIGL,BA0068,Alagoinhas,ALAGOINHAS,BA,,[],OK
SIGE,TO0018,Alberi Juliani,LAGOA DA CONFUSÃO,TO,,[],OK
SNXI,MG0168,Alberto Ramos,CORDISBURGO,MG,,[],OK
SIQU,MS0065,Alcoolvale,APARECIDA DO TABOADO,MS,,[],OK
SNDG,AM0036,Aldeia,BORBA,AM,,[],OK
SSDY,AP0010,Alegria Alcolumbre,MACAPÁ,AP,,[],OK
SNUF,SP0854,Alfa Airport Posse,SÃO PAULO,SP,,[],OK
SJXJ,MS0191,Alimentos Dallas,NOVA ALVORADA DO SUL,MS,,[],OK
SJYG,RR0011,Alto Mucajaí,ALTO ALEGRE,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1211/2018,"{'badge_info': 'INFOTEMP 1211/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
