timestamp,ICAO,CIAD,Aeródromo,Cidade,UF,Status,TEMP,AIP,NOTAM,Debug
2019-04-23T05:42:31.691425-03:00,SWRQ,PI0045,Aero Park,TERESINA,PI,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:42:35.193458-03:00,SIPJ,RS0064,Aero Parque Tupã,TUPANCIRETÃ,RS,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:42:40.063422-03:00,SJGH,RS0077,Aeropel,SÃO BORJA,RS,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:42:44.769462-03:00,SWMZ,MT0369,Aeroporto Agroer Aviação,RONDONÓPOLIS,MT,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:42:50.512461-03:00,SDYS,SC0024,Aeroportobelo,PORTO BELO,SC,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:42:55.622459-03:00,SJPP,MT0205,Aero Rural,ALTA FLORESTA,MT,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:43:02.036447-03:00,SJWA,MG0136,Aerovaço,BOM JESUS DO GALHO,MG,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:43:07.174462-03:00,SJJJ,PA0070,Aeroxingu,ALTAMIRA,PA,OK,"[['Revogado', 'INFOTEMP 0918/2018', 'OBST (TORRE) LGTD COORD 031024.77S/0521124.02W ELEV 525FT MONTADO', {'Duração': '01/10/18 14:03 a 31/12/19 23:59 UTC', 'Divulgação': '01/10/2018 14:14'}]]",[],[],{'response_status_code': 200}
2019-04-23T05:43:13.044459-03:00,SNXE,AP0009,Aero Z Ferrus,FERREIRA GOMES,AP,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:43:20.041421-03:00,SWGC,MS0375,Agricenter,PONTA PORÃ,MS,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:43:26.586458-03:00,SWAG,TO0041,Agrícola Rio Galhão,MATEIROS,TO,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:43:31.324450-03:00,SJSS,MT0218,Agrifor,SORRISO,MT,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:43:36.278450-03:00,SIHW,SP0180,Agrishow,RIBEIRÃO PRETO,SP,OK,[],[],[],{'response_status_code': 200}
